max_state_error,prediction,observed,error,relative_error
0,399.0249426569613,280.0,119.02494265696129,0.42508908091771885
1,1106.0832697181788,762.0,344.0832697181788,0.45155284739918483
2,1662.1134503258054,1175.0,487.1134503258054,0.4145646385751535
3,2046.1403658436936,1535.0,511.14036584369364,0.33299046634768315
4,2276.299944321744,1797.0,479.2999443217441,0.26672228398538905
5,2397.6741275135023,1973.0,424.6741275135023,0.21524284212544464
6,2455.855429079177,2110.0,345.85542907917716,0.16391252562994177
7,2481.9480746116924,2205.0,276.9480746116924,0.1256000338375022
8,2493.009213792523,2276.0,217.00921379252304,0.09534675474188183
9,2497.442349370897,2336.0,161.44234937089686,0.06911059476493872
10,2499.117646057067,2381.0,118.11764605706685,0.04960841917558457
11,2499.7131590838676,2403.0,96.7131590838676,0.04024684106694448
12,2499.912065114813,2428.0,71.91206511481278,0.02961781924003821
13,2499.974534992686,2448.0,51.97453499268613,0.021231427693090738
14,2499.9930189026422,2461.0,38.993018902642234,0.015844379887298754
15,2499.9981845426473,2469.0,30.998184542647323,0.012554955262311592
16,2499.999551466377,2478.0,21.999551466376943,0.008877946515890614
17,2499.999894616756,2485.0,14.999894616756137,0.006036174896078928
18,2499.9999764394274,2491.0,8.999976439427428,0.003612997366289614
19,2499.9999949853177,2492.0,7.999994985317699,0.0032102708608819017
20,2499.999998983616,2495.0,4.999998983616024,0.002004007608663737
